Player;Team;Age;Min;PTS;FG%;3P%;FT%;DREB;REB;AST;STL;BLK
Luka Don?i?;LAL;26;40.4;37.0;54.5;50.0;88.9;7.0;8.0;1.0;2.0;0.0
Giannis Antetokounmpo;MIL;30;38.0;36.0;60.9;0.0;53.3;9.0;12.0;1.0;1.0;2.0
Paolo Banchero;ORL;22;42.2;36.0;51.9;57.1;66.7;8.0;11.0;4.0;1.0;1.0
Jalen Brunson;NYK;28;42.1;35.5;44.4;35.3;81.0;2.0;2.0;7.0;1.0;0.0
Stephen Curry;GSW;37;39.6;31.0;63.2;55.6;100;6.0;6.0;3.0;1.0;0.0
Kawhi Leonard;LAC;33;40.1;30.0;70.6;50.0;100;4.0;4.0;3.0;2.0;0.5
Derrick White;BOS;30;36.1;30.0;55.6;58.3;100;3.0;4.0;2.0;1.0;2.0
Donovan Mitchell;CLE;28;33.3;30.0;57.9;22.0;85.7;5.0;5.0;4.0;4.0;0.0
Ty Jerome;CLE;27;26.0;28.0;66.7;62.5;60.0;4.0;5.0;3.0;0.0;0.0
Nikola Joki?;DEN;30;44.7;27.0;50.0;41.7;62.5;9.0;10.0;11.0;3.0;0.5
Cade Cunningham;DET;23;40.7;27.0;45.2;25.0;82.4;8.0;9.0;7.0;1.0;0.0
Darius Garland;CLE;25;30.0;27.0;58.8;55.6;100;3.0;3.0;5.0;1.0;0.0
Alperen Sengun;HOU;22;35.9;26.0;61.1;50.0;75.0;7.0;9.0;1.0;3.0;0.0
Jaden McDaniels;MIN;24;33.3;25.0;84.6;100;0.0;5.0;9.0;2.0;1.0;0.0
James Harden;LAC;35;40.9;25.0;46.2;40.0;100;4.0;4.0;9.0;0.5;1.0
Jimmy Butler III;GSW;35;42.2;25.0;52.6;50.0;66.7;4.0;7.0;6.0;5.0;0.0
Pascal Siakam;IND;31;32.9;25.0;66.7;60.0;100;7.0;7.0;2.0;1.0;1.0
Bam Adebayo;MIA;27;39.1;24.0;45.5;20.0;50.0;5.0;9.0;3.0;2.0;1.0
Franz Wagner;ORL;23;36.4;23.0;41.7;16.0;100;3.0;3.0;5.0;1.0;2.0
Naz Reid;MIN;25;30.0;23.0;66.7;66.7;50.0;5.0;5.0;2.0;0.0;2.0
Anthony Edwards;MIN;23;35.4;22.0;36.4;44.4;100;6.0;8.0;9.0;1.0;0.0
Jamal Murray;DEN;28;45.1;22.0;43.2;46.7;83.3;5.0;5.0;6.0;1.0;0.5
Aaron Wiggins;OKC;26;26.0;21.0;53.3;57.1;100;3.0;4.0;2.0;0.0;0.0
Tyler Herro;MIA;25;37.0;21.0;38.9;50.0;100;3.0;3.0;2.0;1.0;0.0
Jalen Williams;OKC;24;25.0;20.0;62.5;0.0;0.0;3.0;5.0;6.0;3.0;1.0
Tobias Harris;DET;32;41.4;20.0;58.3;55.6;100;8.0;9.0;0.5;0.5;1.0
Aaron Gordon;DEN;29;42.0;19.0;48.1;33.3;84.6;3.0;7.0;1.0;1.0;0.0
Chet Holmgren;OKC;22;21.0;19.0;45.5;75.0;100;9.0;10.0;2.0;1.0;2.0
LeBron James;LAL;40;36.3;19.0;44.4;20.0;100;4.0;5.0;3.0;2.0;3.0
Myles Turner;IND;29;31.0;19.0;58.3;66.7;50.0;5.0;5.0;2.0;1.0;4.0
Payton Pritchard;BOS;27;24.0;19.0;75.0;66.7;100;0.0;0.0;3.0;0.0;0.0
Ivica Zubac;LAC;28;39.9;18.0;64.0;0.0;55.6;8.0;12.0;3.0;1.0;0.0
Davion Mitchell;MIA;26;33.9;18.0;66.7;66.7;0.0;2.0;4.0;9.0;1.0;0.0
Andrew Nembhard;IND;25;28.0;17.0;61.5;33.3;0.0;4.0;4.0;5.0;2.0;0.0
Ja Morant;MEM;25;26.0;17.0;35.3;16.0;80.0;2.0;3.0;4.0;0.0;1.0
Jayson Tatum;BOS;27;40.2;17.0;36.4;12.0;0.0;12.0;14.0;4.0;1.0;1.0
Marvin Bagley III;MEM;26;16.0;17.0;100;100;0.0;3.0;5.0;0.0;2.0;1.0
Karl-Anthony Towns;NYK;29;36.3;16.0;60.0;20.0;100;8.0;8.0;2.0;2.0;1.0
OG Anunoby;NYK;27;43.3;16.0;42.9;25.0;100;4.0;6.0;1.0;3.0;1.0
Austin Reaves;LAL;26;37.0;16.0;38.5;37.5;100;3.0;3.0;3.0;0.0;0.0
Jaylen Brown;BOS;28;30.0;16.0;42.9;0.0;100;3.0;5.0;2.0;2.0;0.0
Julius Randle;MIN;30;34.8;16.0;54.5;66.7;0.0;3.0;5.0;5.0;0.0;0.0
AJ Green;MIL;25;26.0;15.0;38.5;45.5;0.0;3.0;3.0;1.0;0.0;0.0
Shai Gilgeous-Alexander;OKC;26;23.0;15.0;30.0;14.0;85.7;3.0;3.0;5.0;0.0;2.0
Malik Beasley;DET;28;32.5;14.0;36.0;35.0;100;2.0;2.0;1.0;1.0;0.5
